,City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,City ID,DateTime,Country
327,arroyos y esteros,-25,-57,77.18,34.0,0.0,9.89,3439395,1627132817,PY
328,saint-raymond,47,-72,62.64,54.0,0.0,2.39,6122923,1627132818,CA
329,tyukalinsk,56,72,81.05,58.0,100.0,5.28,1488780,1627132818,RU
330,tyrma,50,133,67.32,76.0,24.0,3.76,2014694,1627132818,RU
331,kizilskoye,53,59,74.66,63.0,95.0,1.81,584051,1627132818,RU
332,colac,-40,144,47.32,67.0,100.0,24.07,2164669,1627132819,AU
333,taveta,-3,38,86.05,25.0,10.0,18.43,186101,1627132819,KE
334,shubarkuduk,49,55,82.67,35.0,15.0,12.73,608354,1627132819,KZ
335,pteleos,39,23,78.37,46.0,0.0,12.1,254442,1627132820,GR
336,beisfjord,66,18,58.26,68.0,100.0,8.59,2725372,1627132820,SE
337,de aar,-30,24,57.31,11.0,0.0,13.91,964334,1627132820,ZA
338,lesogorskiy,61,29,70.29,32.0,24.0,8.08,535670,1627132820,RU
339,belem de sao francisco,-9,-39,79.68,50.0,88.0,20.18,3405852,1627132821,BR
340,berberati,4,16,85.66,54.0,100.0,2.68,2386820,1627132821,CF
341,masumbwe,-4,32,85.48,20.0,0.0,8.03,154654,1627132821,TZ
342,makat,48,53,87.53,25.0,0.0,11.12,608872,1627132821,KZ
344,lucea,18,-79,82.47,75.0,100.0,12.15,3489331,1627132822,JM
345,kaspiyskiy,45,47,88.05,33.0,68.0,11.41,461873,1627132822,RU
346,belaya kholunitsa,59,51,63.43,33.0,87.0,8.68,578152,1627132822,RU
347,cintalapa,17,-94,64.17,98.0,100.0,3.04,3530617,1627132823,MX
350,campoverde,-8,-75,76.89,63.0,5.0,1.12,3733380,1627132823,PE
351,perene,-11,-75,70.52,66.0,0.0,1.52,3932502,1627132824,PE
353,charlottetown,46,-63,63.07,85.0,100.0,6.73,5954426,1627132824,CA
354,przasnysz,53,21,80.08,50.0,99.0,1.05,762032,1627132824,PL
355,athabasca,55,-114,58.23,56.0,1.0,9.57,5976495,1627132825,CA
356,maracacume,-2,-46,85.03,58.0,98.0,4.5,3395497,1627132825,BR
358,chubbuck,43,-113,58.28,22.0,0.0,3.13,5583714,1627132825,US
359,fort wellington,7,-57,82.47,75.0,59.0,21.3,3378690,1627132826,GY
360,esil,52,66,83.62,38.0,100.0,6.64,1524296,1627132826,KZ
361,watertown,44,-76,72.32,70.0,1.0,3.44,5110449,1627132826,US
364,punta gorda,16,-89,77.14,98.0,100.0,1.7,3581398,1627132827,BZ
365,goba,7,40,53.2,93.0,100.0,4.27,336350,1627132827,ET
367,fulitun,47,131,81.19,55.0,5.0,5.93,2037370,1627132828,CN
368,rudbar,29,63,107.78,6.0,57.0,15.43,1128239,1627132828,AF
370,isla mujeres,22,-86,83.37,76.0,41.0,7.43,3526756,1627132829,MX
371,santo tomas,-14,-72,40.91,57.0,0.0,0.87,3948917,1627132829,PE
372,kudat,7,117,84.34,79.0,100.0,17.29,7603928,1627132829,MY
373,garoua,9,13,82.27,77.0,44.0,5.06,2231320,1627132829,CM
374,accra,5,0,78.15,69.0,84.0,11.48,2295773,1627132830,GH
375,pine bluff,34,-92,79.45,82.0,0.0,4.59,4132227,1627132830,US
376,antri,26,78,94.05,52.0,7.0,4.38,1278516,1627132830,IN
377,ust-maya,60,134,67.87,99.0,100.0,6.73,2013918,1627132830,RU
378,brownsville,26,-96,83.01,74.0,0.0,14.43,4733103,1627132831,US
379,lewisville,33,-97,79.54,80.0,20.0,1.01,4706057,1627132831,US
382,sorsk,54,90,63.99,83.0,100.0,0.78,1491360,1627132832,RU
383,qovlar,41,46,89.94,37.0,60.0,8.43,586692,1627132832,AZ
384,novobirilyussy,57,91,74.61,57.0,100.0,6.42,1508260,1627132832,RU
386,lind,56,9,78.08,51.0,56.0,13.18,2618931,1627132833,DK
387,blankenberge,52,3,66.58,88.0,100.0,11.5,2756746,1627132833,NL
388,sofiysk,53,135,61.92,79.0,100.0,4.59,2023584,1627132833,RU
389,quang ngai,15,110,85.53,70.0,100.0,30.6,1568770,1627132833,VN
391,goundam,17,-4,100.65,30.0,51.0,11.72,2453866,1627132834,ML
394,barbastro,42,0,86.18,16.0,100.0,13.67,6358360,1627132835,ES
395,bure,11,36,68.79,97.0,100.0,4.7,444181,1627132835,ET
396,gravatai,-30,-51,64.42,64.0,0.0,2.3,3462089,1627132835,BR
397,ananas,-6,-48,86.67,34.0,30.0,11.12,3405318,1627132835,BR
398,sharjah,25,57,93.49,83.0,100.0,12.41,286402,1627132836,OM
399,huejuquilla el alto,23,-104,60.84,87.0,95.0,0.13,4004616,1627132836,MX
400,aldan,59,124,58.84,97.0,100.0,5.26,2019135,1627132836,RU
401,laguna de perlas,13,-84,75.0,97.0,100.0,4.61,3618618,1627132836,NI
402,cavalcante,-14,-48,77.36,34.0,32.0,4.85,3472775,1627132837,BR
403,jumla,30,83,53.22,64.0,100.0,9.48,1283245,1627132837,NP
404,parangan,5,120,84.4,79.0,22.0,12.77,1727148,1627132837,PH
405,matagami,50,-77,66.07,60.0,100.0,10.27,6067747,1627132837,CA
406,senno,54,29,77.32,34.0,6.0,6.49,630197,1627132838,BY
407,tarudant,29,-6,106.92,7.0,0.0,2.33,2565267,1627132838,MA
408,arantangi,10,79,86.83,63.0,99.0,13.27,1278448,1627132838,IN
409,villacarrillo,38,-3,93.94,13.0,0.0,9.69,6358528,1627132838,ES
410,preston,42,-112,59.14,21.0,0.0,5.06,5777244,1627132839,US
411,miranorte,-9,-49,85.73,35.0,9.0,13.94,3411892,1627132839,BR
412,eyl,8,51,78.51,76.0,36.0,34.92,60019,1627132839,SO
413,doka,14,36,71.53,97.0,100.0,6.89,376332,1627132839,SD
